Date,Close
2022-01-03,178.1036376953125
2022-01-04,175.8432159423828
2022-01-05,171.16583251953125
2022-01-06,168.3085174560547
2022-01-07,168.47482299804688
2022-01-10,168.49441528320312
2022-01-11,171.32241821289062
2022-01-12,171.76272583007812
2022-01-13,168.49441528320312
2022-01-14,169.3555450439453
2022-01-18,166.15573120117188
2022-01-19,162.66233825683594
2022-01-20,160.97923278808594
2022-01-21,158.92433166503906
2022-01-24,158.1512908935547
2022-01-25,156.3507537841797
2022-01-26,156.26272583007812
2022-01-27,155.80279541015625
2022-01-28,166.67434692382812
2022-01-31,171.02882385253906
2022-02-01,170.8624725341797
2022-02-02,172.0660858154297
2022-02-03,169.18917846679688
2022-02-04,168.90505981445312
2022-02-07,168.18980407714844
2022-02-08,171.2957305908203
2022-02-09,172.71641540527344
2022-02-10,168.64051818847656
2022-02-11,165.23086547851562
2022-02-14,165.46600341796875
2022-02-15,169.29696655273438
2022-02-16,169.0618133544922
2022-02-17,165.46600341796875
2022-02-18,163.91795349121094
2022-02-22,160.99819946289062
2022-02-23,156.83409118652344
2022-02-24,159.45016479492188
2022-02-25,161.51747131347656
2022-02-28,161.78201293945312
2022-03-01,159.9008331298828
2022-03-02,163.19290161132812
2022-03-03,162.86956787109375
2022-03-04,159.87144470214844
2022-03-07,156.07969665527344
2022-03-08,154.2572784423828
2022-03-09,159.65586853027344
2022-03-10,155.31544494628906
2022-03-11,151.60203552246094
2022-03-14,147.5751495361328
2022-03-15,151.95474243164062
2022-03-16,156.36378479003906
2022-03-17,157.37301635742188
2022-03-18,160.66505432128906
2022-03-21,162.03675842285156
2022-03-22,165.40724182128906
2022-03-23,166.76913452148438
2022-03-24,170.5510711669922
2022-03-25,171.1879425048828
2022-03-28,172.05015563964844
2022-03-29,175.34222412109375
2022-03-30,174.17630004882812
2022-03-31,171.08016967773438
2022-04-01,170.78623962402344
2022-04-04,174.83273315429688
2022-04-05,171.52105712890625
2022-04-06,168.3563995361328
2022-04-07,168.66009521484375
2022-04-08,166.6515350341797
